"Date","DJT_AdjClose"
2024-02-01,124020000
2024-03-01,88210000
2024-04-01,96980000
2024-05-01,112650000
2024-06-01,117870000
2024-07-01,89460000
2024-08-01,132560000
2024-09-01,89980000
2024-10-01,109420000
2024-11-01,107810000
2024-12-01,77950000
2025-01-01,88750000
2025-02-01,126200000
2025-03-01,126850000
2025-04-01,163260000
2025-05-01,141500000
2025-06-01,140430000
2025-07-01,137020000
2025-08-01,172250000
2025-09-01,166080000
